"","expr","time"
"1","duckdb",99768615
"2","duckdb",120468186
"3","duckdb",111295945
"4","duckdb",98932267
"5","duckdb",100779368
"6","duckdb",107784663
"7","duckdb",103575067
"8","duckdb",120201529
"9","duckdb",117277987
"10","duckdb",98672663
